0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Prijs,€ 567.000,Adres,"Papestraat 66, 9320 Nieuwerkerken",Type,Woning (Huis),Woonopp.,220 m²,Grondopp.,985 m²,Slaapkamers,4,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,137 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.363,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/huis/KIQAJ,Days: 37,,,,,,,,
Prijs,€ 269.000,Adres,"Sint Janstraat 43, 9300 Aalst",Type,Woning (Huis),Woonopp.,140 m²,Grondopp.,70 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,314 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 609,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIQAM,Days: 54,,,,,,
Prijs,€ 129.000,Adres,"Bosveld, 9300 Aalst",Type,Bouwgrond (Grond),Grondopp.,292 m²,Renovatieplicht,Niet van toepassing,KI,€ 3,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/grond/KIQ46,Days: 21,,,,,,,,,,,,,,,,,,,,
Prijs,€ 150.000,Adres,"Bosveld, 9300 Aalst",Type,Bouwgrond (Grond),Grondopp.,492 m²,Renovatieplicht,Niet van toepassing,KI,€ 5,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/grond/KIQ45,Days: 28,,,,,,,,,,,,,,,,,,,,
Prijs,€ 411.000,Adres,"Bosveld 12 / B, 9300 Aalst",Type,Project,Woonopp.,vanaf 141 m²,Grondopp.,vanaf 160 m²,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/aalst-9300/te-koop/nieuwbouwproject/1004DVV,Days: 24,,,,,,,,,,,,,,,,,,
Prijs,€ 170.000,Adres,"Boudewijnlaan 137 / 1, 9300 Aalst",Type,Gelijkvloers app. (Appartement),Woonopp.,83 m²,Slaapkamers,1,Tuin,ZO,Bouwjaar,1998,EPC,470 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.100,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/JT5JH,Days: 125,,,,,,,,,,,,,,
Prijs,€ 264.000,Adres,"Ledebaan 248, 9300 Aalst",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,390 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,1955,EPC,421 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 508,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIPUU,Days: 121,,,,,,,,,,
Prijs,€ 345.000,Adres,"Broekstraat 30, 9310 Herdersem",Type,Woning (Huis),Woonopp.,148 m²,Grondopp.,1.500 m²,Slaapkamers,3,Badkamers,1,Tuin,ZW,Bebouwing,halfopen,Bouwjaar,1926,EPC,342 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/herdersem-9310/te-koop/huis/KIP9A,Days: 120,,,,,,,,
Prijs,€ 315.200,Adres,"Brusselse Steenweg 59, 9300 Aalst",Type,Project,Woonopp.,op aanvraag »,Grondopp.,vanaf 99 m²,Slaapkamers,op aanvraag »,Bouwjaar,2023,EPC,Bekijk info,https://www.zimmo.be/nl/aalst-9300/te-koop/nieuwbouwproject/1004B8F,Days: 172,,,,,,,,,,,,,,,,,,
Prijs,€ 345.000,Adres,"Wijmenput 40 / 31, 9300 Aalst",Type,Penthouse (Appartement),Woonopp.,100 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,2023,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIPAD,Days: 57,,,,,,,,,,,,,,
Prijs,€ 650.000,Adres,"Ninovestraat 171, 9300 Aalst",Type,Gemengd gebruik (Huis),Woonopp.,op aanvraag »,Grondopp.,1.097 m²,Slaapkamers,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOE5,Days: 132,,,,,,,,,,,,,,
Prijs,€ 350.000,Adres,"Bredestraat 258A, 9300 Aalst",Type,Woning (Huis),Woonopp.,170 m²,Grondopp.,3.479 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,halfopen,Bouwjaar,1967,EPC,671 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.132,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOC5,Days: 133,,,,,,,,
Prijs,€ 419.000,Adres,"Koolstraat 13, 9300 Aalst",Type,Woning (Huis),Woonopp.,249 m²,Grondopp.,150 m²,Slaapkamers,4,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,242 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOC3,Days: 134,,,,,,,,,,,,
Prijs,€ 495.000,Adres,"Sint Ursmaarstraat 5, 9300 Aalst",Type,Woning (Huis),Woonopp.,230 m²,Grondopp.,436 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,halfopen,Bouwjaar,1982,EPC,298 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOC6,Days: 130,,,,,,,,,,
Prijs,€ 950.000,Adres,"Negen Dagwand 6, 9300 Aalst",Type,Villa (Huis),Woonopp.,337 m²,Grondopp.,1.592 m²,Slaapkamers,4,Badkamers,2,Garages,2,Tuin,ZW,Bebouwing,open,Bouwjaar,1999,EPC,185 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.886,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBW,Days: 156,,,,,,
Prijs,€ 399.000,Adres,"Hertshage 103, 9300 Aalst",Type,Woning (Huis),Woonopp.,241 m²,Grondopp.,250 m²,Slaapkamers,5,Badkamers,2,Garages,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,258 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 619,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBU,Days: 56,,,,,,,,
Prijs,€ 289.000,Adres,"Bergemeersenstraat 123, 9300 Aalst",Type,Woning (Huis),Woonopp.,131 m²,Grondopp.,100 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,140 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 319,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBP,Days: 135,,,,,,,,,,
Prijs,€ 389.000,Adres,"Veldstraat 5, 9300 Aalst",Type,Herenhuis (Huis),Woonopp.,230 m²,Grondopp.,110 m²,Slaapkamers,3,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,386 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 844,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBS,Days: 53,,,,,,,,,,
Prijs,€ 225.000,Adres,"Felix de Herstraat 21, 9300 Aalst",Type,Woning (Huis),Woonopp.,85 m²,Grondopp.,100 m²,Slaapkamers,3,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,367 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBJ,Days: 151,,,,,,,,,,,,
Prijs,€ 209.000,Adres,"Beekveldstraat 11, 9300 Aalst",Type,Woning (Huis),Woonopp.,153 m²,Grondopp.,60 m²,Slaapkamers,2,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 270,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOB5,Days: 110,,,,,,,,,,
Prijs,€ 274.900,Adres,"Spaarzaamheidstraat 26, 9300 Aalst",Type,Woning (Huis),Woonopp.,154 m²,Grondopp.,130 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,halfopen,Bouwjaar,1950,EPC,488 kWh/m²,Renovatieplicht,Van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBL,Days: 101,,,,,,,,,,
Prijs,€ 269.000,Adres,"Dompelstraat 48, 9300 Aalst",Type,Woning (Huis),Woonopp.,150 m²,Grondopp.,360 m²,Slaapkamers,3,Badkamers,1,Tuin,Z,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,289 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 535,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBT,Days: 67,,,,,,,,
Prijs,€ 255.000,Adres,"Diepestraat 33, 9300 Aalst",Type,Woning (Huis),Woonopp.,145 m²,Grondopp.,150 m²,Slaapkamers,3,Badkamers,1,Tuin,W,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,365 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 360,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBH,Days: 81,,,,,,,,
Prijs,€ 650.000,Adres,"Dokter Andre Goffaertstraat 2, 9300 Aalst",Type,Gemengd gebruik (Huis),Woonopp.,230 m²,Grondopp.,97 m²,Slaapkamers,5,Badkamers,5,Bebouwing,halfopen,Bouwjaar,1994,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBA,Days: 19,,,,,,,,,,,,
Prijs,€ 349.000,Adres,"Ledebaan 71B, 9300 Aalst",Type,Woning (Huis),Woonopp.,168 m²,Grondopp.,80 m²,Slaapkamers,3,Badkamers,1,Tuin,O,Bebouwing,gesloten,Bouwjaar,2000,EPC,152 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 941,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOBG,Days: 137,,,,,,,,
Prijs,€ 265.000,Adres,"Langehaagstraat 20, 9308 Gijzegem",Type,Woning (Huis),Woonopp.,140 m²,Grondopp.,870 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,halfopen,Bouwjaar,1974,EPC,794 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 865,https://www.zimmo.be/nl/gijzegem-9308/te-koop/huis/KIOBI,Days: 136,,,,,,,,
Prijs,€ 310.000,Adres,"Steenweg op Aalst 108 / 4, 9308 Hofstade",Type,Appartement,Woonopp.,op aanvraag »,Slaapkamers,3,Badkamers,1,Garages,1,Bouwjaar,2001,EPC,107 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/hofstade-9308/te-koop/appartement/KIOB7,Days: 36,,,,,,,,,,,,,,
Prijs,€ 189.000,Adres,"Dokter André Goffaertstraat 129, 9300 Aalst",Type,Woning (Huis),Woonopp.,127 m²,Grondopp.,68 m²,Slaapkamers,2,Badkamers,1,Tuin,ZO,Bebouwing,op aanvraag »,Bouwjaar,1933,EPC,461 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 456,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOB6,Days: 67,,,,,,,,
Prijs,€ 265.000,Adres,"Geraardsbergsestraat 159, 9300 Aalst",Type,Woning (Huis),Woonopp.,148 m²,Grondopp.,214 m²,Slaapkamers,3,Badkamers,1,Tuin,W,Bebouwing,op aanvraag »,Bouwjaar,1919,EPC,620 kWh/m²,Renovatieplicht,Van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIOB1,Days: 49,,,,,,,,
