0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Prijs,€ 463.000,Adres,"Gaspar De Craeyerstraat 2, 9000 Gent",Type,Project,Woonopp.,vanaf 98 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/gent-9000/te-koop/nieuwbouwproject/10049VJ,Days: 1343,,,,,,,,,,,,,,,,,,
Prijs,€ 825.000,Adres,"Sint-Pietersaalststraat 116, 9000 Gent",Type,Woning (Huis),Woonopp.,215 m²,Grondopp.,405 m²,Slaapkamers,6,Badkamers,1,Tuin,ZW,Bebouwing,op aanvraag »,Bouwjaar,1850,EPC,388 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 614,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIKJ6,Days: 133,,,,,,,,
Prijs,€ 450.000,Adres,"Klinkkouterstraat 24, 9040 Sint-Amandsberg",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,222 m²,Slaapkamers,4,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,428 kWh/m²,Renovatieplicht,Van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/sint-amandsberg-9040/te-koop/huis/KIKIQ,Days: 111,,,,,,,,,,
Prijs,€ 430.000,Adres,"Gontrodestraat 157, 9050 Gentbrugge",Type,Woning (Huis),Woonopp.,258 m²,Grondopp.,238 m²,Slaapkamers,4,Badkamers,2,Garages,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,457 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.034,Vrij op,01/01/2024,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/gentbrugge-9050/te-koop/huis/KIKUV,Days: 157,,,,
Prijs,€ 285.000,Adres,"Eedverbondkaai 117, 9000 Gent",Type,Appartement,Woonopp.,50 m²,Slaapkamers,1,Badkamers,1,Garages,1,Bouwjaar,op aanvraag »,EPC,126 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,15/11/2023,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKUU,Days: 71,,,,,,,,,,
Prijs,€ 395.000,Adres,"Prinsesselaan 6, 9031 Drongen",Type,Woning (Huis),Woonopp.,"116,90 m²",Grondopp.,407 m²,Slaapkamers,3,Badkamers,1,Garages,1,Tuin,O,Bebouwing,halfopen,Bouwjaar,1975,EPC,327 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 793,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/drongen-9031/te-koop/huis/KIKH6,Days: 177,,
Prijs,€ 399.000,Adres,"Bredestraat 145, 9041 Oostakker",Type,Handelszaak (Bedrijfsvastgoed),Woonopp.,185 m²,Grondopp.,185 m²,Handelsopp.,1 m²,Bebouwing,open,Bouwjaar,2014,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/oostakker-9041/te-koop/bedrijfsvastgoed/KIKEU,Days: 21,,,,,,,,,,,,
Prijs,€ 595.000,Adres,"Gaspar de Craeyerstraat 16 / B2.7, 9000 Gent",Type,Appartement,Woonopp.,136 m²,Slaapkamers,2,Badkamers,1,Garages,1,Tuin,O,Bouwjaar,2023,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIKH2,Days: 76,,,,,,,,,,
Prijs,€ 269.000,Adres,"Rodebeukendreef 39, 9050 Gentbrugge",Type,Appartement,Woonopp.,64 m²,Slaapkamers,1,Badkamers,1,Garages,1,Bouwjaar,op aanvraag »,EPC,120 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/gentbrugge-9050/te-koop/appartement/KIKEV,Days: 69,,,,,,,,,,,,
Prijs,€ 250.000,Adres,"Lijnmolenstraat 161, 9040 Sint-Amandsberg",Type,Bouwgrond (Grond),Grondopp.,770 m²,Bebouwing,halfopen,Renovatieplicht,Niet van toepassing,KI,€ 3,https://www.zimmo.be/nl/sint-amandsberg-9040/te-koop/grond/KIKDK,Days: 58,,,,,,,,,,,,,,,,,,,,
Prijs,€ 625.000,Adres,"Voorhoutkaai 29, 9000 Gent",Type,Eengezinswoning (Huis),Woonopp.,208 m²,Grondopp.,61 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,1899,EPC,112 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 726,Vrij op,overeen te komen,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIKCX,Days: 170,,,,,,,,
Prijs,€ 275.000,Adres,"Raymonde de Larochelaan 1, 9051 Sint-Denijs-Westrem",Type,Appartement,Woonopp.,61 m²,Slaapkamers,1,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/sint-denijs-westrem-9051/te-koop/appartement/KIKCD,Days: 12,,,,,,,,,,,,,,,,
Prijs,€ 329.000,Adres,"Frans Rensstraat 51, 9000 Gent",Type,Woning (Huis),Woonopp.,130 m²,Grondopp.,52 m²,Slaapkamers,4,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,295 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIKCC,Days: 197,,,,,,,,,,,,
Prijs,€ 209.000,Adres,"Bevrijdingslaan 260, 9000 Gent",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,120 m²,Grondopp.,50 m²,Handelsopp.,op aanvraag »,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,872 kWh/m²,Renovatieplicht,Van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/bedrijfsvastgoed/KIKCA,Days: 22,,,,,,,,,,,,
Prijs,€ 335.000,Adres,"Raymonde de Larochelaan 1, 9051 Sint-Denijs-Westrem",Type,Appartement,Woonopp.,89 m²,Slaapkamers,2,Tuin,ZO,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/sint-denijs-westrem-9051/te-koop/appartement/KIKC9,Days: 14,,,,,,,,,,,,,,,,
Prijs,€ 305.000,Adres,"Kaprijkestraat 17, 9000 Gent",Type,Woning (Huis),Woonopp.,130 m²,Grondopp.,60 m²,Slaapkamers,4,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,214 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIKC7,Days: 155,,,,,,,,,,,,
Prijs,€ 245.000,Adres,"Winkelstraat 85, 9032 Wondelgem",Type,Woning (Huis),Woonopp.,75 m²,Grondopp.,45 m²,Slaapkamers,2,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,328 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/wondelgem-9032/te-koop/huis/KIKC8,Days: 92,,,,,,,,,,,,
Prijs,€ 630.000,Adres,"Antwerpsesteenweg 377, 9040 Sint-Amandsberg",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,336 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,1953,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.431,https://www.zimmo.be/nl/sint-amandsberg-9040/te-koop/bedrijfsvastgoed/KIKC5,Days: 40,,,,,,,,,,,,
Prijs,€ 320.000,Adres,"Raymonde de Larochelaan 1, 9051 Sint-Denijs-Westrem",Type,Appartement,Woonopp.,90 m²,Slaapkamers,2,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/sint-denijs-westrem-9051/te-koop/appartement/KIKC6,Days: 16,,,,,,,,,,,,,,,,
Prijs,€ 405.000,Adres,"Raymonde de Larochelaan 1, 9051 Sint-Denijs-Westrem",Type,Appartement,Woonopp.,111 m²,Slaapkamers,3,Badkamers,3,Tuin,Z,Bouwjaar,2023,EPC,25 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/sint-denijs-westrem-9051/te-koop/appartement/KIKC4,Days: 11,,,,,,,,,,,,,,
Prijs,€ 465.000,Adres,"Pijndersstraat 41, 9000 Gent",Type,Woning (Huis),Woonopp.,203 m²,Grondopp.,152 m²,Slaapkamers,4,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,209 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 731,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/gent-9000/te-koop/huis/KIKC3,Days: 148,,,,,,,,
Prijs,€ 315.000,Adres,"Raymonde de Larochelaan 1, 9051 Sint-Denijs-Westrem",Type,Appartement,Woonopp.,81 m²,Slaapkamers,2,Tuin,O,Bouwjaar,2023,EPC,20 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/sint-denijs-westrem-9051/te-koop/appartement/KIKC2,Days: 7,,,,,,,,,,,,,,,,
