Code,Prijs,Adres,Stad,Type,Bouwjaar,EPC,Woonopp.,Slaapkamers,Badkamers,Grondopp.,Bebouwing,Garages,Tuin,Dagen,Link,Handelsopp.,First,Last,Scraped
,,,,,,,,,,,,,,,,,,,2023-10-06
,,,,,,,,,,,,,,,,,,,2023-10-06
KAXYX,18000, Sassevaartstraat 41,9000 Gent , Garage ,2016, Inaanvraag ,,,,, opaanvraag Â»,,,10.0,https://www.zimmo.be/nl/gent-9000/te-koop/garage/KAXYX,,2023-09-26,,2023-10-06
KGF5E,359000, Keizer Karelstraat 198/1.01,9000 Gent , Appartement , opaanvraag Â»,159 k Wh / m Â²,70,2,2,, opaanvraag Â»,,,66.0,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KGF5E,,2023-08-01,,2023-10-06
KICUX,339000, Peter Benoitlaan 102,9050 Gentbrugge , Woning ( Huis ),1994,152 k Wh / m Â²,150,2,1,200, gesloten ,1,,41.0,https://www.zimmo.be/nl/gentbrugge-9050/te-koop/huis/KICUX,,2023-08-26,,2023-10-06
KILCT,470000, Kliniekstraat 102,9050 Gentbrugge , Gemengdgebruik ( Huis ),1894,220 k Wh / m Â²,285,3,1,151, gesloten ,1, W ,41.0,https://www.zimmo.be/nl/gentbrugge-9050/te-koop/huis/KILCT,,2023-08-26,,2023-10-06
KFX5A,800000, Brabantdam 73,9000 Gent , Commercieel Gebouw ( Bedrijfsvastgoed ), opaanvraag Â», Inaanvraag ,389,3,1,59, opaanvraag Â»,1, W ,23.0,https://www.zimmo.be/nl/gent-9000/te-koop/bedrijfsvastgoed/KFX5A, opaanvraag Â»,2023-09-13,,2023-10-06
KIL9R,1550000, Baarledorpstraat 93/ A ,9031 Drongen , Appartement ,2023, Inaanvraag ,162,3,2,59, opaanvraag Â»,2, W ,1.0,https://www.zimmo.be/nl/drongen-9031/te-koop/appartement/KIL9R, opaanvraag Â»,2023-10-05,,2023-10-06
KIL3M,459000, Bollebergen 33,9052 Zwijnaarde , Woning ( Huis ),1918,198 k Wh / m Â²,141,3,1,147, opaanvraag Â»,2, W ,13.0,https://www.zimmo.be/nl/zwijnaarde-9052/te-koop/huis/KIL3M, opaanvraag Â»,2023-09-23,,2023-10-06
KIL9S,1695000, Baarledorpstraat 93/ C ,9031 Drongen , Appartement ,2023, Inaanvraag ,180,3,2,147, opaanvraag Â»,2, W ,,https://www.zimmo.be/nl/drongen-9031/te-koop/appartement/KIL9S, opaanvraag Â»,,,2023-10-06
04DT5,292906, Rijvisschestraat 126,9000 Gent , Project ,2021, Bekijkinfo ,76, opaanvraag Â»,2,76, opaanvraag Â»,2, W ,,https://www.zimmo.be/nl/gent-9000/te-koop/nieuwbouwproject/1004DT5, opaanvraag Â»,,,2023-10-06
