0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Prijs,€ 199.999,Adres,"Korte Zavelstraat 29 / glvl, 2060 Antwerpen",Type,Handelsgelijkvloers (Bedrijfsvastgoed),Woonopp.,80 m²,Grondopp.,80 m²,Handelsopp.,op aanvraag »,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/antwerpen-2060/te-koop/bedrijfsvastgoed/KIL79,Days: 23,,,,,,,,,,,,
Prijs,€ 290.000,Adres,"Annuntiatenstraat 21, 2170 Merksem",Type,Eengezinswoning (Huis),Woonopp.,121 m²,Grondopp.,75 m²,Slaapkamers,4,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,434 kWh/m²,Renovatieplicht,Van toepassing,https://www.zimmo.be/nl/merksem-2170/te-koop/huis/KIL78,Days: 67,,,,,,,,,,
Prijs,€ 219.900,Adres,"Schoonbroek 142 / 14, 2180 Ekeren",Type,Appartement,Woonopp.,85 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1980,EPC,191 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.120,https://www.zimmo.be/nl/ekeren-2180/te-koop/appartement/KIL5E,Days: 22,,,,,,,,,,,,
Prijs,€ 230.000,Adres,"Minister Delbekelaan 56 / 1, 2170 Merksem",Type,Gelijkvloers app. (Appartement),Woonopp.,65 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1956,EPC,297 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 535,https://www.zimmo.be/nl/merksem-2170/te-koop/appartement/KIL69,Days: 46,,,,,,,,,,,,
Prijs,€ 160.000,Adres,"Collegelaan 108, 2100 Deurne",Type,Appartement,Woonopp.,100 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,142 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 857,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/deurne-2100/te-koop/appartement/KIL46,Days: 58,,,,,,,,
Prijs,€ 325.000,Adres,"Kattenberg 37, 2180 Ekeren",Type,Eengezinswoning (Huis),Woonopp.,143 m²,Grondopp.,180 m²,Slaapkamers,2,Badkamers,1,Tuin,NO,Bebouwing,gesloten,Bouwjaar,1924,EPC,182 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,overeen te komen,https://www.zimmo.be/nl/ekeren-2180/te-koop/huis/KIL3N,Days: 85,,,,,,
Prijs,€ 449.000,Adres,"Ferdinand Pauwelsstraat 8, 2180 Ekeren",Type,Gemengd gebruik (Huis),Woonopp.,op aanvraag »,Grondopp.,505 m²,Slaapkamers,3,Badkamers,2,Tuin,ZO,Bebouwing,gesloten,Bouwjaar,1966,EPC,112 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 3.331,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/ekeren-2180/te-koop/huis/KIL3H,Days: 75,,,,
Prijs,€ 449.000,Adres,"Ferdinand Pauwelsstraat 8, 2180 Ekeren",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,505 m²,Handelsopp.,op aanvraag »,Badkamers,2,Bebouwing,gesloten,Bouwjaar,1966,EPC,112 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 3.331,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/ekeren-2180/te-koop/bedrijfsvastgoed/KIL3I,Days: 15,,,,,,
Prijs,€ 159.900,Adres,"Terloostraat 5, 2140 Borgerhout",Type,Appartement,Woonopp.,60 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,199 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/borgerhout-2140/te-koop/appartement/KIL1S,Days: 74,,,,,,,,,,,,
Prijs,€ 159.000,Adres,"De Roest d'Alkemadelaan 8 / 64, 2600 Berchem",Type,Studio met slaaphoek (Appartement),Woonopp.,38 m²,Slaapkamers,op aanvraag »,Badkamers,1,Bouwjaar,1970,EPC,202 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 684,https://www.zimmo.be/nl/berchem-2600/te-koop/appartement/KIL1N,Days: 71,,,,,,,,,,,,
