0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Prijs,€ 1.880.000,Adres,"Straat niet gekend,",1050 Elsene,Type,Penthouse (Appartement),Woonopp.,345 m²,Slaapkamers,4,Badkamers,4,Garages,1,Bouwjaar,1956,EPC,315 kWh/m²,Energieklasse,Vrij op,06/10/2023,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KILTS,Days: 51,,,,,,,,
Prijs,€ 1.650.000,Adres,"Rue du Grand Hospice 3A, 1000 Brussel",Type,Woning (Huis),Woonopp.,45 m²,Grondopp.,op aanvraag »,Slaapkamers,5,Badkamers,1,Bebouwing,gesloten,Bouwjaar,1914,EPC,In aanvraag,Energieklasse,In aanvraag,Vrij op,onmiddellijk,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KILRO,Days: 39,,,,,,
Prijs,€ 495.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Loft (Appartement),Woonopp.,200 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,Vrij op,onmiddellijk,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KILJ5,Days: 99,,,,,,,,,
Prijs,€ 570.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Woning (Huis),Woonopp.,130 m²,Grondopp.,op aanvraag »,Slaapkamers,3,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,308 kWh/m²,Energieklasse,Vrij op,na opzeg huur overeenkomst,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KILBM,Days: 74,,,,,,,,
Prijs,€ 2.300.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartementsgebouw (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,halfopen,Bouwjaar,1968,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIL7P,Days: 24,,,,,,,,,
Prijs,€ 335.000,Adres,"Helihavenlaan - Avenue De L'héliport 100, 1000 Brussel",Type,Appartement,Woonopp.,90 m²,Slaapkamers,2,Badkamers,2,Bouwjaar,2021,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKWT,Days: 42,,,,,,,,,,,,
Prijs,€ 515.000,Adres,"Havenlaan 86C, 1000 Brussel",Type,Project,Woonopp.,vanaf 130 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004791,Days: 516,,,,,,,,,,,,,,
Prijs,€ 297.500,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,67 m²,Slaapkamers,1,Bouwjaar,op aanvraag »,EPC,166 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKS8,Days: 60,,,,,,,,,,,,,,
Prijs,€ 519.000,Adres,"Straat niet gekend,",1020 Laken,Type,Appartementsgebouw (Bedrijfsvastgoed),Woonopp.,220 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,gesloten,Bouwjaar,1926,EPC,231 kWh/m²,Energieklasse,KI,€ 1.085,https://www.zimmo.be/nl/laken-1020/te-koop/bedrijfsvastgoed/KIKSD,Days: 24,,,,,,,,
Prijs,€ 540.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Burelencomplex (Bedrijfsvastgoed),Woonopp.,200 m²,Grondopp.,250 m²,Handelsopp.,200 m²,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKSB,Days: 17,,,,,,,,,
Prijs,€ 690.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Burelencomplex (Bedrijfsvastgoed),Woonopp.,200 m²,Grondopp.,op aanvraag »,Handelsopp.,200 m²,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KIKS9,Days: 12,,,,,,,,,
Prijs,€ 725.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Andere (Huis),Woonopp.,1.042 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,KI,€ 1.396,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIKSA,Days: 62,,,,,,,
Prijs,€ 312.500,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,60 m²,Slaapkamers,1,Bouwjaar,op aanvraag »,EPC,365 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKS6,Days: 30,,,,,,,,,,,,,,
Prijs,€ 235.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,70 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1980,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIKS7,Days: 62,,,,,,,,,,,
Prijs,€ 495.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Rijwoning (Huis),Woonopp.,130 m²,Grondopp.,op aanvraag »,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KIKS2,Days: 103,,,,,,,
