0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Prijs,€ 170.000,Adres,"Dieudonné Lefèvrestraat 95 / 2, 1000 Brussel",Type,Appartement,Woonopp.,60 m²,Slaapkamers,1,Bouwjaar,1965,EPC,170 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KI3GM,Days: 268,,,,,,,,,,,,,,,
Prijs,€ 434.000,Adres,"Boulevard Charlemagne 45 / 26, 1000 Brussel",Type,Appartement,Woonopp.,120 m²,Slaapkamers,3,Badkamers,2,Bouwjaar,op aanvraag »,EPC,201 kWh/m²,Energieklasse,KI,€ 2.151,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KI3BY,Days: 109,,,,,,,,,,,
Prijs,€ 329.000,Adres,"Beukenootjesstraat 155, 1120 Neder-over-Heembeek",Type,Bel-étage (Huis),Woonopp.,108 m²,Grondopp.,253 m²,Slaapkamers,2,Badkamers,1,Garages,1,Tuin,ZO,Bebouwing,gesloten,Bouwjaar,1964,EPC,329 kWh/m²,Energieklasse,KI,€ 1.189,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/huis/KI3GB,Days: 729,
Prijs,€ 2.995.000,Adres,"2 Rue du Buisson, 1050 Elsene",Type,Appartement,Woonopp.,357 m²,Slaapkamers,4,Bouwjaar,1991,EPC,146 kWh/m²,Energieklasse,KI,€ 8.900,Vrij op,onmiddellijk,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KEE98,Days: 74,,,,,,,,,,,
Prijs,€ 395.000,Adres,"Square Marguerite 35, 1000 Brussel",Type,Appartement,Woonopp.,102 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1970,EPC,72 kWh/m²,Energieklasse,Vrij op,01/12/2023,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KI0WA,Days: 87,,,,,,,,,,,
Prijs,€ 799.000,Adres,"Tweekerkenstraat 124, 1000 Brussel",Type,Herenwoning (Huis),Woonopp.,430 m²,Grondopp.,10 m²,Slaapkamers,6,Badkamers,3,Bebouwing,gesloten,Bouwjaar,1919,EPC,255 kWh/m²,Energieklasse,KI,€ 1.640,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KI1V6,Days: 215,,,,,,,
Prijs,€ 319.000,Adres,"Paleizenstraat over de Bruggen, 1020 Laken",Type,Appartement,Woonopp.,91 m²,Slaapkamers,1,Badkamers,1,Garages,1,Tuin,Z,Bouwjaar,2017,EPC,52 kWh/m²,Energieklasse,Vrij op,01/11/2023,https://www.zimmo.be/nl/laken-1020/te-koop/appartement/KI1I2,Days: 65,,,,,,,
Prijs,€ 269.000,Adres,"Drève Du Parc - Parkdreef 45, 1000 Brussel",Type,Project,Woonopp.,vanaf 66 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2025,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004DQS,Days: 37,,,,,,,,,,,,,,
Prijs,€ 230.000,Adres,"Sint-Goriksstraat 27, 1000 Brussel",Type,Appartement,Woonopp.,40 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,1908,EPC,In aanvraag,Energieklasse,In aanvraag,KI,€ 387,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KI0KA,Days: 189,,,,,,,,
Prijs,€ 335.000,Adres,"Quai aux Pierres de Taille 11, 1000 Brussel",Type,Appartement,Woonopp.,70 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1956,EPC,170 kWh/m²,Energieklasse,KI,€ 790,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KI0KI,Days: 109,,,,,,,,,
Prijs,€ 275.000,Adres,"Avenue de Cortenbergh 134, 1000 Brussel",Type,Appartement,Woonopp.,75 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,1968,EPC,173 kWh/m²,Energieklasse,KI,€ 1.385,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KI0KF,Days: 112,,,,,,,,,
Prijs,Prijs op aanvraag »,Adres,"Boulevard de la Cambre 25, 1000 Brussel",Type,Project,Woonopp.,vanaf 23 m²,Grondopp.,vanaf 260 m²,Slaapkamers,op aanvraag »,Bouwjaar,2023,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004CI6,Days: 174,,,,,,,,,,,,,,
Prijs,€ 309.000,Adres,"Drève Du Parc - Parkdreef 41, 1000 Brussel",Type,Project,Woonopp.,vanaf 76 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2025,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004DQX,Days: 7,,,,,,,,,,,,,,
Prijs,€ 305.000,Adres,"Place Peter Benoit 28, 1120 Neder-over-Heembeek",Type,Appartement,Woonopp.,105 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,1960,EPC,292 kWh/m²,Energieklasse,KI,€ 721,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/appartement/KI0K6,Days: 82,,,,,,,,,
Prijs,€ 575.000,Adres,"Maria-Christinastraat 109, 1020 Laken",Type,Gemengd gebruik (Huis),Woonopp.,280 m²,Grondopp.,op aanvraag »,Slaapkamers,4,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,421 kWh/m²,Energieklasse,KI,€ 1.450,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/laken-1020/te-koop/huis/KI0JY,Days: 139,,,,,
Prijs,€ 535.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Gemengd gebruik (Huis),Woonopp.,123 m²,Grondopp.,40 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KI0JZ,Days: 152,,,,,
Prijs,€ 525.000,Adres,"Ernest Salustraat 87, 1020 Laken",Type,Eengezinswoning (Huis),Woonopp.,175 m²,Grondopp.,175 m²,Slaapkamers,3,Badkamers,2,Bebouwing,gesloten,Bouwjaar,1919,EPC,413 kWh/m²,Energieklasse,KI,€ 1.631,https://www.zimmo.be/nl/laken-1020/te-koop/huis/KI054,Days: 315,,,,,,,
Prijs,€ 255.000,Adres,"Wolstraat 19, 1000 Brussel",Type,Appartement,Woonopp.,50 m²,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,338 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHZST,Days: 145,,,,,,,,,,,,,,,
Prijs,€ 299.900,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,95 m²,Slaapkamers,1,Badkamers,1,Tuin,N,Bouwjaar,2009,EPC,125 kWh/m²,Energieklasse,KI,€ 1.232,Vrij op,01/07/2022,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KFNKB,Days: 164,,,,,,
Prijs,€ 2.395.000,Adres,"Straat niet gekend,",1050 Elsene,Type,Penthouse (Appartement),Woonopp.,360 m²,Slaapkamers,5,Badkamers,3,Garages,3,Bouwjaar,2009,EPC,150 kWh/m²,Energieklasse,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KHZPC,Days: 111,,,,,,,,
Prijs,€ 268.000,Adres,"Square Ambiorix 40, 1000 Brussel",Type,Appartement,Woonopp.,65 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,op aanvraag »,EPC,389 kWh/m²,Energieklasse,KI,€ 1.132,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHZNG,Days: 57,,,,,,,,,,,
Prijs,€ 749.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Herenwoning (Huis),Woonopp.,288 m²,Grondopp.,op aanvraag »,Slaapkamers,5,Badkamers,2,Bebouwing,gesloten,Bouwjaar,1920,EPC,259 kWh/m²,Energieklasse,KI,€ 1.906,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KHZMT,Days: 164,,,,
Prijs,€ 209.000,Adres,"Straat niet gekend,",1020 Laken,Type,Duplex (Appartement),Woonopp.,100 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,op aanvraag »,EPC,913 kWh/m²,Energieklasse,Vrij op,onmiddellijk,https://www.zimmo.be/nl/laken-1020/te-koop/appartement/KHZMY,Days: 804,,,,,,,,,,
Prijs,€ 469.000,Adres,"Straat niet gekend,",1020 Laken,Type,Woning (Huis),Woonopp.,260 m²,Grondopp.,op aanvraag »,Slaapkamers,7,Bebouwing,gesloten,Bouwjaar,1880,EPC,480 kWh/m²,Energieklasse,KI,€ 1.142,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/laken-1020/te-koop/huis/KHZMC,Days: 213,,,,,,
Prijs,€ 249.000,Adres,"Avenue de Stalingrad 103, 1000 Brussel",Type,Appartement,Woonopp.,70 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,1900,EPC,271 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHYY4,Days: 111,,,,,,,,,,,,,
Prijs,€ 2.200.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartementsgebouw (Bedrijfsvastgoed),Woonopp.,460 m²,Grondopp.,op aanvraag »,Handelsopp.,85 m²,Badkamers,5,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,244 kWh/m²,Energieklasse,KI,€ 3.113,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KHYZY,Days: 40,,,,,,
Prijs,€ 216.500,Adres,"Boulevard de la Cambre 25 / 3.3, 1000 Brussel",Type,Kot-Kamer,Woonopp.,"24,90 m²",Badkamers,1,Bouwjaar,2022,EPC,50 kWh/m²,Energieklasse,Vrij op,01/09/2024,https://www.zimmo.be/nl/brussel-1000/te-koop/kot-kamer/KHYNN,Days: 22,,,,,,,,,,,,,
Prijs,€ 195.500,Adres,"Boulevard de la Cambre 25, 1000 Brussel",Type,Project,Woonopp.,vanaf 23 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2022,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004DIF,Days: 40,,,,,,,,,,,,,,
Prijs,€ 223.500,Adres,"Boulevard de la Cambre 25 / 2.1, 1000 Brussel",Type,Kot-Kamer,Woonopp.,"26,60 m²",Badkamers,1,Bouwjaar,2022,EPC,50 kWh/m²,Energieklasse,Vrij op,01/09/2024,https://www.zimmo.be/nl/brussel-1000/te-koop/kot-kamer/KHYNO,Days: 18,,,,,,,,,,,,,
Prijs,€ 1.290.000,Adres,"Rue Froissart 86, 1000 Brussel",Type,Handelszaak (Bedrijfsvastgoed),Woonopp.,"191,11 m²",Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,gesloten,Bouwjaar,2019,EPC,In aanvraag,Energieklasse,In aanvraag,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KHYNQ,Days: 21,,,,,,,,
Prijs,€ 1.030.000,Adres,"Hogebomendaal 10, 1000 Brussel",Type,Woning (Huis),Woonopp.,327 m²,Grondopp.,366 m²,Slaapkamers,4,Badkamers,2,Garages,1,Bebouwing,halfopen,Bouwjaar,1960,EPC,423 kWh/m²,Energieklasse,KI,€ 3.973,Vrij op,30/09/2023,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KHYNL,Days: 82,,,
Prijs,€ 195.500,Adres,"Boulevard de la Cambre 25 / 0.2, 1000 Brussel",Type,Kot-Kamer,Woonopp.,"23,90 m²",Badkamers,1,Bouwjaar,2022,EPC,50 kWh/m²,Energieklasse,Vrij op,01/09/2024,https://www.zimmo.be/nl/brussel-1000/te-koop/kot-kamer/KHYNM,Days: 24,,,,,,,,,,,,,
Prijs,€ 549.000,Adres,"Avenue des Croix de Guerre 336, 1120 Neder-over-Heembeek",Type,Bel-étage (Huis),Woonopp.,195 m²,Grondopp.,189 m²,Slaapkamers,5,Badkamers,2,Garages,1,Bebouwing,gesloten,Bouwjaar,1970,EPC,254 kWh/m²,Energieklasse,KI,€ 2.265,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/huis/KHYF6,Days: 257,,,
Prijs,€ 450.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,125 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bouwjaar,1990,EPC,178 kWh/m²,Energieklasse,Vrij op,15/11/2023,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHYAQ,Days: 48,,,,,,,,
Prijs,€ 358.000,Adres,"Drève Du Parc - Parkdreef 45, 1000 Brussel",Type,Project,Woonopp.,vanaf 95 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2025,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004BH9,Days: 213,,,,,,,,,,,,,,
Prijs,€ 364.000,Adres,"Drève Du Parc - Parkdreef 45, 1000 Brussel",Type,Project,Woonopp.,vanaf 93 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2025,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004BH4,Days: 320,,,,,,,,,,,,,,
Prijs,€ 432.000,Adres,"Drève Du Parc - Parkdreef 6 / 1, 1000 Brussel",Type,Project,Woonopp.,vanaf 110 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2025,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004BH3,Days: 127,,,,,,,,,,,,,,
Prijs,€ 1.450.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,290 m²,Slaapkamers,2,Badkamers,3,Garages,3,Bouwjaar,2016,EPC,99 kWh/m²,Energieklasse,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHY4Q,Days: 52,,,,,,,,
Prijs,€ 269.000,Adres,"Avenue de la nivéole 4, 1020 Laken",Type,Appartement,Woonopp.,100 m²,Slaapkamers,3,Badkamers,1,Tuin,Z,Bouwjaar,1970,EPC,344 kWh/m²,Energieklasse,KI,€ 1.370,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/laken-1020/te-koop/appartement/KHXPT,Days: 239,,,,,,,
Prijs,€ 335.000,Adres,"Willebroekkaai 22, 1000 Brussel",Type,Appartement,Woonopp.,90 m²,Slaapkamers,2,Bouwjaar,2020,EPC,56 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHXZV,Days: 128,,,,,,,,,,,,,,,
Prijs,€ 1.500.000,Adres,"Straat niet gekend,",1050 Elsene,Type,Appartement,Woonopp.,285 m²,Slaapkamers,4,Badkamers,1,Bouwjaar,1900,EPC,214 kWh/m²,Energieklasse,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KHXHU,Days: 56,,,,,,,,,,,,
Prijs,€ 240.000,Adres,"Stevinstraat 8, 1000 Brussel",Type,Staanplaats (Garage),Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/garage/KHXGD,Days: 41,,,,,,,,,,,,,,,,,,
Prijs,€ 140.000,Adres,"Maagdenstraat 58, 1000 Brussel",Type,Studio met slaaphoek (Appartement),Woonopp.,30 m²,Slaapkamers,op aanvraag »,Badkamers,1,Bouwjaar,op aanvraag »,EPC,360 kWh/m²,Energieklasse,KI,€ 640,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHXAY,Days: 263,,,,,,,,,,,
Prijs,€ 2.395.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Penthouse (Appartement),Woonopp.,360 m²,Slaapkamers,5,Badkamers,3,Garages,3,Bouwjaar,2009,EPC,150 kWh/m²,Energieklasse,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHX9X,Days: 42,,,,,,,,
Prijs,€ 30.000,Adres,"Straat niet gekend,",1050 Elsene,Type,Kelder garage (Garage),Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,https://www.zimmo.be/nl/elsene-1050/te-koop/garage/KHX9M,Days: 53,,,,,,,,,,,,,,,,,
Prijs,€ 30.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Kelder garage (Garage),Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/garage/KHX9L,Days: 21,,,,,,,,,,,,,,,,,
Prijs,€ 749.000,Adres,"Amarantlaan 9, 1020 Laken",Type,Woning (Huis),Woonopp.,350 m²,Grondopp.,270 m²,Slaapkamers,8,Badkamers,3,Garages,1,Bebouwing,gesloten,Bouwjaar,1937,EPC,163 kWh/m²,Energieklasse,Vrij op,01/11/2023,https://www.zimmo.be/nl/laken-1020/te-koop/huis/KHX0M,Days: 130,,,,,
Prijs,€ 160.900,Adres,"Avenue Des Croix De Guerre - Oor 84, 1120 Neder-over-Heembeek",Type,Project,Woonopp.,vanaf 84 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2022,EPC,Bekijk info,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/nieuwbouwproject/1004BGI,Days: 826,,,,,,,,,,,,,,
Prijs,€ 529.000,Adres,"Versailleslaan 78, 1020 Laken",Type,Woning (Huis),Woonopp.,240 m²,Grondopp.,317 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,halfopen,Bouwjaar,1960,EPC,392 kWh/m²,Energieklasse,Vrij op,01/11/2023,https://www.zimmo.be/nl/laken-1020/te-koop/huis/KHX0N,Days: 305,,,,,
Prijs,€ 445.000,Adres,"Orteliusstraat 32, 1000 Brussel",Type,Appartement,Woonopp.,80 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1966,EPC,169 kWh/m²,Energieklasse,KI,€ 1.219,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHWOG,Days: 133,,,,,,,,,,,
Prijs,€ 419.000,Adres,"Zilverstraat 16 / 6.03, 1000 Brussel",Type,Appartement,Woonopp.,117 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,2013,EPC,172 kWh/m²,Energieklasse,KI,€ 1.701,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHWM3,Days: 38,,,,,,,,,,,
Prijs,€ 795.000,Adres,"Straat niet gekend,",1050 Brussel,Type,Appartement,Woonopp.,145 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bouwjaar,1961,EPC,198 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1050/te-koop/appartement/KHWKV,Days: 46,,,,,,,,,,
Prijs,€ 595.000,Adres,"Rue Froissart 86 / 6, 1000 Brussel",Type,Penthouse (Appartement),Woonopp.,"99,82 m²",Slaapkamers,1,Badkamers,1,Bouwjaar,2019,EPC,58 kWh/m²,Energieklasse,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHWGX,Days: 76,,,,,,,,,,,
Prijs,€ 22.000,Adres,"Rue Stevin 8, 1000 Brussel",Type,Kelder garage (Garage),Bebouwing,op aanvraag »,Bouwjaar,1970,EPC,In aanvraag,Vrij op,01/02/2010,https://www.zimmo.be/nl/brussel-1000/te-koop/garage/KHWGU,Days: 41,,,,,,,,,,,,,,,,
Prijs,€ 595.000,Adres,"Rue Froissart 86, 1000 Brussel",Type,Project,Woonopp.,vanaf 103 m²,Grondopp.,vanaf 143 m²,Slaapkamers,op aanvraag »,Bouwjaar,2020,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004DHO,Days: 78,,,,,,,,,,,,,,
Prijs,€ 349.000,Adres,"Straat niet gekend,",1130 Haren,Type,Gelijkvloers app. (Appartement),Woonopp.,93 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,2015,EPC,205 kWh/m²,Energieklasse,KI,€ 860,https://www.zimmo.be/nl/haren-1130/te-koop/appartement/KHWAD,Days: 81,,,,,,,,,,
Prijs,€ 299.000,Adres,"Straat niet gekend,",1130 Haren,Type,Gelijkvloers app. (Appartement),Woonopp.,70 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,2015,EPC,202 kWh/m²,Energieklasse,KI,€ 733,https://www.zimmo.be/nl/haren-1130/te-koop/appartement/KHWAA,Days: 59,,,,,,,,,,
Prijs,€ 379.000,Adres,"Straat niet gekend,",1130 Haren,Type,Appartement,Woonopp.,93 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,2015,EPC,188 kWh/m²,Energieklasse,KI,€ 907,https://www.zimmo.be/nl/haren-1130/te-koop/appartement/KHWAC,Days: 50,,,,,,,,,,
Prijs,€ 319.000,Adres,"Straat niet gekend,",1130 Haren,Type,Appartement,Woonopp.,93 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,2015,EPC,186 kWh/m²,Energieklasse,KI,€ 860,https://www.zimmo.be/nl/haren-1130/te-koop/appartement/KHWA9,Days: 40,,,,,,,,,,
Prijs,€ 369.000,Adres,"Straat niet gekend,",1130 Haren,Type,Duplex (Appartement),Woonopp.,90 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,2015,EPC,158 kWh/m²,Energieklasse,KI,€ 917,https://www.zimmo.be/nl/haren-1130/te-koop/appartement/KHWAB,Days: 28,,,,,,,,,,
Prijs,€ 450.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,125 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bouwjaar,1990,EPC,178 kWh/m²,Energieklasse,Vrij op,15/11/2023,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHW7N,Days: 70,,,,,,,,
Prijs,€ 369.000,Adres,"Straat niet gekend,",1130 Haren,Type,Duplex (Appartement),Woonopp.,90 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,2015,EPC,159 kWh/m²,Energieklasse,KI,€ 926,https://www.zimmo.be/nl/haren-1130/te-koop/appartement/KHWA8,Days: 34,,,,,,,,,,
Prijs,€ 490.000,Adres,"Rue du Vieux Marche aux Grains 65, 1000 Brussel",Type,Appartement,Woonopp.,120 m²,Slaapkamers,1,Badkamers,1,Garages,1,Bouwjaar,op aanvraag »,EPC,245 kWh/m²,Energieklasse,KI,€ 2.653,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHVI4,Days: 55,,,,,,,,,
Prijs,€ 215.000,Adres,"Land van Luikstraatje 5-17, 1000 Brussel",Type,Kantoor (Bedrijfsvastgoed),Woonopp.,47 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,gesloten,Bouwjaar,2025,EPC,96 kWh/m²,Energieklasse,Vrij op,01/07/2023,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KHVGX,Days: 47,,,,,,,,,
Prijs,€ 559.000,Adres,"Boulevard De Dixmude - Diksmuidelaan 40 / 8, 1000 Brussel",Type,Appartement,Woonopp.,185 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,1930,EPC,145 kWh/m²,Energieklasse,KI,€ 1.541,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHVEA,Days: 111,,,,,,,,,,,
Prijs,Prijs op aanvraag »,Adres,"Wetstraat 13-17-35-47-49, 1000 Brussel",Type,Bedrijfsgebouw (Bedrijfsvastgoed),Woonopp.,575 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KHVFB,Days: 34,,,,,,,,,,
Prijs,€ 239.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Commercieel Gebouw (Bedrijfsvastgoed),Woonopp.,65 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,1820,EPC,In aanvraag,Energieklasse,In aanvraag,https://www.zimmo.be/nl/brussel-1000/te-koop/bedrijfsvastgoed/KHVDP,Days: 49,,,,,,,,,
Prijs,€ 995.000,Adres,"Avenue de la Forêt 190, 1000 Brussel",Type,Woning (Huis),Woonopp.,285 m²,Grondopp.,771 m²,Slaapkamers,6,Badkamers,2,Garages,1,Bebouwing,halfopen,Bouwjaar,1937,EPC,481 kWh/m²,Energieklasse,KI,€ 3.544,Vrij op,onmiddellijk,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KHV6P,Days: 83,
Prijs,€ 1.410.000,Adres,"Emile De Motlaan 19 / A61, 1000 Brussel",Type,Appartement,Woonopp.,184 m²,Slaapkamers,3,Badkamers,2,Garages,1,Bouwjaar,2023,EPC,45 kWh/m²,Energieklasse,Vrij op,01/08/2025,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHV6K,Days: 45,,,,,,,,,
Prijs,€ 765.000,Adres,"Emile De Motlaan 19 / A11, 1000 Brussel",Type,Appartement,Woonopp.,"119,50 m²",Slaapkamers,2,Badkamers,2,Bouwjaar,2023,EPC,30 kWh/m²,Energieklasse,Vrij op,01/08/2025,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHV6N,Days: 22,,,,,,,,,,,
Prijs,€ 569.000,Adres,"Rue Royale 33 / 13, 1000 Brussel",Type,Appartement,Woonopp.,"141,10 m²",Slaapkamers,2,Badkamers,2,Bouwjaar,1880,EPC,In aanvraag,Energieklasse,In aanvraag,Vrij op,01/09/2023,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHV6C,Days: 64,,,,,,,,
Prijs,€ 445.000,Adres,"Rijkeklarenstraat 51 / 2, 1000 Brussel",Type,Duplex (Appartement),Woonopp.,122 m²,Slaapkamers,3,Badkamers,2,Bouwjaar,1997,EPC,298 kWh/m²,Energieklasse,KI,€ 1.295,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHV21,Days: 144,,,,,,,,,
Prijs,€ 269.000,Adres,"Rue de Ransbeek 185 / 1, 1120 Neder-over-Heembeek",Type,Appartement,Woonopp.,74 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1999,EPC,119 kWh/m²,Energieklasse,KI,€ 885,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/appartement/KHV29,Days: 109,,,,,,,
Prijs,€ 175.000,Adres,"Sint-Gisleinsstraat 53 / 4, 1000 Brussel",Type,Studio (Appartement),Woonopp.,35 m²,Slaapkamers,1,Bouwjaar,op aanvraag »,EPC,697 kWh/m²,Energieklasse,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KHUFV,Days: 260,,,,,,,,,,,,,,,
Prijs,€ 239.000,Adres,"Place Peter Benoit 30 / 6, 1120 Neder-over-Heembeek",Type,Appartement,Woonopp.,85 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1977,EPC,256 kWh/m²,Energieklasse,Vrij op,01/10/2023,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/appartement/KHU24,Days: 151,,,,,,,,,,,
