0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Prijs,€ 299.000,Adres,"Sint-Amandstraat 30, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,165 m²,Grondopp.,1.680 m²,Slaapkamers,3,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,526 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 688,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KI4ZD,Days: 339,,,,,,,,
Prijs,€ 479.000,Adres,"Hageveld 20, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,210 m²,Grondopp.,1.230 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,open,Bouwjaar,1995,EPC,244 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.340,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KI0XZ,Days: 196,,,,
Prijs,€ 668.451,Adres,"Straat niet gekend,",9320 Erembodegem,Type,Woning (Huis),Woonopp.,242 m²,Grondopp.,637 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KHUBH,Days: 52,,,,,,,
Prijs,€ 88.000,Adres,"Alfons van de Maelestraat, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,"564,46 m²",Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,Video,Klik hier,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHSNQ,Days: 87,,,,,,,,,,,,,,,,
Prijs,€ 192.000,Adres,"Alfons van de Maelestraat, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,"1.065,71 m²",Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHSNT,Days: 63,,,,,,,,,,,,,,,,,,,,
Prijs,€ 104.000,Adres,"Alfons van de Maelestraat, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,"531,25 m²",Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,Video,Klik hier,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHSNL,Days: 59,,,,,,,,,,,,,,,,
Prijs,€ 370.000,Adres,"Brusselbaan 203A, 9320 Erembodegem",Type,Grond,Grondopp.,1.175 m²,Bebouwing,open,Renovatieplicht,Niet van toepassing,KI,€ 13,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHRB9,Days: 40,,,,,,,,,,,,,,,,,,
Prijs,€ 185.000,Adres,"Brusselbaan 203A, 9320 Erembodegem",Type,Grond,Grondopp.,585 m²,Bebouwing,halfopen,Renovatieplicht,Niet van toepassing,KI,€ 13,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHRAZ,Days: 21,,,,,,,,,,,,,,,,,,
Prijs,€ 145.000,Adres,"Kromme Elleboogstraat LOT 1, 9320 Erembodegem",Type,Grond,Grondopp.,380 m²,Bebouwing,halfopen,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHRB1,Days: 47,,,,,,,,,,,,,,,,,,,,
Prijs,€ 185.000,Adres,"Brusselbaan 203A, 9320 Erembodegem",Type,Grond,Grondopp.,590 m²,Bebouwing,halfopen,Renovatieplicht,Niet van toepassing,KI,€ 13,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHRB0,Days: 25,,,,,,,,,,,,,,,,,,
Prijs,€ 249.000,Adres,"Ninovesteenweg 24 / 2, 9320 Erembodegem",Type,Appartement,Woonopp.,138 m²,Slaapkamers,2,Badkamers,2,Bouwjaar,1993,EPC,220 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.618,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KHQCO,Days: 102,,,,,,,,,,
Prijs,€ 985.000,Adres,"Villalaan 10, 9300 Aalst",Type,Villa (Huis),Woonopp.,320 m²,Grondopp.,1.121 m²,Slaapkamers,6,Badkamers,2,Garages,2,Bebouwing,open,Bouwjaar,1964,EPC,282 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.978,Video,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KHIZ0,Days: 470,,,,
Prijs,€ 100.000,Adres,"Autostradelaan, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,1.437 m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KH5HC,Days: 91,,,,,,,,,,,,,,,,,,,,
Prijs,€ 675.000,Adres,"Erembodegem-Dorp 45, 9320 Erembodegem",Type,Appartementsgebouw (Appartement),Woonopp.,op aanvraag »,Slaapkamers,2,Badkamers,3,Bouwjaar,1948,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,na opzeg huur overeenkomst,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KH4O5,Days: 30,,,,,,,,,,,,
Prijs,€ 189.000,Adres,"Ninovesteenweg 2 / 2, 9320 Erembodegem",Type,Appartement,Woonopp.,93 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1967,EPC,226 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 616,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KH3Z7,Days: 233,,,,,,,,,,
Prijs,€ 235.000,Adres,"van de Vijverstraat 19, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,"96,80 m²",Grondopp.,158 m²,Slaapkamers,1,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,187 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 225,Vrij op,overeen te komen,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KGW4O,Days: 323,,,,,,
Prijs,€ 189.900,Adres,"Brusselbaan LOT 8, 9320 Erembodegem",Type,Grond,Grondopp.,"636,54 m²",Bebouwing,halfopen,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KG51F,Days: 117,,,,,,,,,,,,,,,,,,,,
Prijs,€ 542.284,Adres,"Straat niet gekend,",9320 Erembodegem,Type,Woning (Huis),Woonopp.,240 m²,Grondopp.,175 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KG3IT,Days: 98,,,,,,,
Prijs,€ 185.000,Adres,"Jagershoek 81, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,121 m²,Grondopp.,651 m²,Slaapkamers,3,Badkamers,1,Garages,1,Tuin,NW,Bebouwing,op aanvraag »,Bouwjaar,1919,EPC,1022 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 401,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KFNKJ,Days: 1119,,
Prijs,€ 172.000,Adres,"Termurenlaan 12 / 3.4, 9320 Erembodegem",Type,Duplex (Appartement),Woonopp.,55 m²,Slaapkamers,1,Bouwjaar,2008,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KFI70,Days: 481,,,,,,,,,,,,,,
Prijs,€ 260.000,Adres,"Vinkenlaan 1, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,1.222 m²,Renovatieplicht,Niet van toepassing,KI,€ 7,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KFCKX,Days: 205,,,,,,,,,,,,,,,,,,
Prijs,€ 305.000,Adres,"Driehoekstraat 25, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,1.740 m²,Renovatieplicht,Niet van toepassing,KI,€ 14,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KFCKW,Days: 223,,,,,,,,,,,,,,,,,,
Prijs,€ 350.000,Adres,"Hogeweg 123, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,800 m²,Slaapkamers,op aanvraag »,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KEK9A,Days: 455,,,,,,,,,,
Prijs,€ 350.000,Adres,"Hoge Weg 123, 9320 Erembodegem",Type,Projectgrond (Grond),Grondopp.,800 m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KEJXF,Days: 139,,,,,,,,,,,,,,,,,,,,
Prijs,€ 244.000,Adres,"Hof ter Lokerenstraat 5, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,158 m²,Grondopp.,640 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,1957,EPC,390 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 615,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KE6YL,Days: 1742,,,,,,
Prijs,€ 240.000,Adres,"Papeveld 11, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,"160,64 m²",Grondopp.,892 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,409 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 389,Vrij op,bij akte na betaling,Video,Klik hier,Virtueel bezoek,Klik hier,Bezoek info,na telefonische afspraak op nummer 0491/72.69.16,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KE1NY,Days: 1547
Prijs,€ 172.500,Adres,"Straat niet gekend,",9320 Erembodegem,Type,Appartement,Woonopp.,110 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1993,EPC,286 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KCURB,Days: 666,,,,,,,,,,,
Prijs,€ 345.000,Adres,"Straat niet gekend,",9320 Erembodegem,Type,Appartement,Woonopp.,220 m²,Slaapkamers,4,Badkamers,2,Bouwjaar,1993,EPC,286 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KCURC,Days: 156,,,,,,,,,,,
Prijs,€ 459.000,Adres,"Kleistraat 38, 9320 Erembodegem",Type,Gemengd gebruik (Huis),Woonopp.,561 m²,Grondopp.,605 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,open,Bouwjaar,op aanvraag »,EPC,184 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KCNEI,Days: 556,,,,,,
Prijs,€ 115.000,Adres,"Dotterbloemstraat, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,175 m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KBLU7,Days: 213,,,,,,,,,,,,,,,,,,,,
Prijs,€ 526.283,Adres,"Straat niet gekend,",9320 Erembodegem,Type,Woning (Huis),Woonopp.,"205,30 m²",Grondopp.,380 m²,Slaapkamers,3,Badkamers,1,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KBLD1,Days: 170,,,,,,,,,
Prijs,€ 309.750,Adres,"Hogeweg 130-132, 9320 Erembodegem",Type,Appartement,Woonopp.,83 m²,Slaapkamers,2,Tuin,Z,Bouwjaar,2022,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KB1I9,Days: 237,,,,,,,,,,,,,,
Prijs,€ 199.000,Adres,"Geraardsbergsesteenweg 152, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,135 m²,Grondopp.,320 m²,Slaapkamers,1,Badkamers,1,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,486 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 428,Vrij op,overeen te komen,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KA69C,Days: 873,,,,,,
Prijs,€ 245.000,Adres,"Heuvel 55, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,165 m²,Grondopp.,375 m²,Slaapkamers,5,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,349 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KA69E,Days: 3203,,,,,,,,
Prijs,€ 257.000,Adres,"Ninovesteenweg 218, 9320 Erembodegem",Type,Appartement,Woonopp.,op aanvraag »,Slaapkamers,2,Bouwjaar,2022,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/K9MCI,Days: 114,,,,,,,,,,,,,,,,
Prijs,€ 280.250,Adres,"Ninovesteenweg 218 / 22, 9320 Erembodegem",Type,Appartement,Woonopp.,95 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,2022,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/K9MCH,Days: 167,,,,,,,,,,,,,,
Prijs,€ 174.000,Adres,"IJzerenwegstraat 25A, 9320 Erembodegem",Type,Atelier (Bedrijfsvastgoed),Woonopp.,173 m²,Grondopp.,211 m²,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,1967,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 420,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/bedrijfsvastgoed/JXLVW,Days: 512,,,,,,,,
Prijs,€ 174.000,Adres,"IJzerenwegstraat 25A, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,137 m²,Grondopp.,211 m²,Slaapkamers,op aanvraag »,Bebouwing,gesloten,Bouwjaar,1967,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 420,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/JXLVV,Days: 2797,,,,,,,,
