Code,Prijs,Adres,Stad,Type,Bouwjaar,EPC,Woonopp.,Slaapkamers,Badkamers,Grondopp.,Bebouwing,Garages,Tuin,Dagen,Link,Handelsopp.,First,Last,Scraped
,,,,,,,,,,,,,,,,,,,2023-10-05 00:00:00
,,,,,,,,,,,,,,,,,,,2023-10-05 00:00:00
KI6ZR,245000, Nieuwbeekstraat 1,9300 Aalst , Serviceflat ( Appartement ),2017,102 k Wh / m Â²,52,1,1,,,,,9.0,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KI6ZR,,2023-09-26 00:00:00,,2023-10-05 00:00:00
048YS,275520, Ninovesteenweg 218,9320 Erembodegem , Project , opaanvraag Â», Bekijkinfo ,105, opaanvraag Â»,1,,,,,73.0,https://www.zimmo.be/nl/erembodegem-9300/te-koop/nieuwbouwproject/10048YS,,2023-07-24 00:00:00,,2023-10-05 00:00:00
KHQCO,249000, Ninovesteenweg 24/2,9320 Erembodegem , Appartement ,1993,220 k Wh / m Â²,138,2,2,,,,,10.0,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KHQCO,,2023-09-25 00:00:00,,2023-10-05 00:00:00
KIJVU,599000, Nieuwbeekstraat 4/42,9300 Aalst , Appartement ,2009,152 k Wh / m Â²,170,3,2,,,1, Z ,2.0,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIJVU,,2023-10-03 00:00:00,,2023-10-05 00:00:00
KIJLW,295000, De Schrijverstraat 3,9300 Aalst , Woning ( Huis ),1930,155 k Wh / m Â²,141,3,1,60, gesloten ,1, Z ,7.0,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIJLW,,2023-09-28 00:00:00,,2023-10-05 00:00:00
KIJJ2,339000, Jan Jeliestraat 49,9300 Aalst , Hoekwoning ( Huis ),1962,267 k Wh / m Â²,150,4,1,126, halfopen ,1, Z W ,6.0,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIJJ2,,2023-09-29 00:00:00,,2023-10-05 00:00:00
KIJFB,1595000, Tinnenhoekstraat 14,9310 Moorsel , Villa ( Huis ),2013,90 k Wh / m Â²,1107,4,3,4300, open ,1, Z O ,5.0,https://www.zimmo.be/nl/moorsel-9310/te-koop/huis/KIJFB,,2023-09-30 00:00:00,,2023-10-05 00:00:00
KIIF3,239000, Binnenstraat 300,9300 Aalst , Kantoor ( Bedrijfsvastgoed ),2009, Inaanvraag ,,4,3,854, halfopen ,1, Z O ,,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KIIF3,125 m Â²,,,2023-10-05 00:00:00
